bt.A.x START
[7l-dsk/total- ---paging-- ---load-avg--- ------memory-usage----- ---procs--- --io/total- ----swap--- ----system----
 read  writ|  in   out | 1m   5m  15m | used  buff  cach  free|run blk new| read  writ| used  free|     time     
   0     0 |   0     0 |0.94 0.61 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:01
   0     0 |   0     0 |0.94 0.61 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:02
   0    12k|   0     0 |0.94 0.62 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0  3.00 |  16M  984M|22-03 18:46:03
   0     0 |   0     0 |0.94 0.62 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:04
   0     0 |   0     0 |0.94 0.62 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:05
   0     0 |   0     0 |0.94 0.62 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:06
   0     0 |   0     0 |0.94 0.62 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:07
   0     0 |   0     0 |0.95 0.63 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:08
   0     0 |   0     0 |0.95 0.63 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:09
   0     0 |   0     0 |0.95 0.63 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:10
   0     0 |   0     0 |0.95 0.63 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:11
   0     0 |   0     0 |0.95 0.63 0.35| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:12
   0     0 |   0     0 |0.95 0.63 0.36| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:13
   0     0 |   0     0 |0.95 0.63 0.36| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:14
   0     0 |   0     0 |0.95 0.63 0.36| 944M 12.1M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:46:15
